Date,Opponent,Game,Result,Score,ATS,Spread,OU,Total,team,team_id,season
"Nov 4, 2024",vs USC Upstate,REG,W,97-66,W,-23.0,O,144.5,San Diego State Aztecs,15447,2025
"Nov 8, 2024",vs Presbyterian,REG,W,81-72,L,-21.5,U,154.5,San Diego State Aztecs,15447,2025
"Nov 13, 2024",vs Coastal Carolina,REG,W,82-70,L,-17.0,O,139.0,San Diego State Aztecs,15447,2025
"Nov 18, 2024",vs Colgate,REG,W,72-49,W,-12.5,U,149.5,San Diego State Aztecs,15447,2025
"Nov 22, 2024",vs William & Mary,REG,W,84-61,W,-16.0,U,163.5,San Diego State Aztecs,15447,2025
"Nov 28, 2024",vs Purdue,REG,L,71-61,L,5.5,U,147.5,San Diego State Aztecs,15447,2025
"Nov 29, 2024",@ BYU,REG,L,72-61,L,5.5,U,154.0,San Diego State Aztecs,15447,2025
"Dec 4, 2024",vs Texas,REG,L,63-59,L,2.5,U,147.5,San Diego State Aztecs,15447,2025
"Dec 7, 2024",vs Florida State,REG,W,84-74,W,-5.0,O,147.5,San Diego State Aztecs,15447,2025
"Dec 10, 2024",vs Coppin State,REG,W,66-56,L,-31.5,U,136.5,San Diego State Aztecs,15447,2025
"Dec 14, 2024",@ Kansas,REG,L,75-60,L,14.5,U,142.5,San Diego State Aztecs,15447,2025
"Dec 22, 2024",vs Rider,REG,W,89-63,W,-18.0,O,134.0,San Diego State Aztecs,15447,2025
"Dec 31, 2024",@ Virginia,REG,L,70-67,L,1.0,O,122.5,San Diego State Aztecs,15447,2025
"Jan 4, 2025",@ Wake Forest,REG,L,77-59,L,5.5,U,137.5,San Diego State Aztecs,15447,2025
"Jan 8, 2025",vs Notre Dame,REG,W,66-65,L,-2.5,U,138.5,San Diego State Aztecs,15447,2025
"Jan 11, 2025",vs North Carolina,REG,L,63-61,W,4.5,U,151.5,San Diego State Aztecs,15447,2025
"Jan 15, 2025",@ Virginia Tech,REG,L,79-76,L,-1.0,O,134.5,San Diego State Aztecs,15447,2025
"Jan 18, 2025",vs California,REG,L,65-62,L,-6.0,U,143.5,San Diego State Aztecs,15447,2025
"Jan 25, 2025",vs Southern Methodist,REG,L,63-57,L,3.0,U,146.5,San Diego State Aztecs,15447,2025
"Jan 27, 2025",@ Duke,REG,L,74-64,W,22.0,O,134.5,San Diego State Aztecs,15447,2025
"Feb 1, 2025",vs Clemson,REG,L,68-58,L,5.5,U,132.5,San Diego State Aztecs,15447,2025
"Feb 5, 2025",@ California,REG,L,74-62,L,2.5,U,139.5,San Diego State Aztecs,15447,2025
"Feb 8, 2025",@ Stanford,REG,L,74-73,W,6.0,O,139.5,San Diego State Aztecs,15447,2025
"Feb 12, 2025",vs Louisville,REG,L,91-66,L,8.0,O,144.5,San Diego State Aztecs,15447,2025
"Feb 15, 2025",vs Boston College,REG,W,70-62,L,-8.5,U,141.5,San Diego State Aztecs,15447,2025
"Feb 19, 2025",@ North Carolina,REG,L,97-73,L,10.5,O,146.0,San Diego State Aztecs,15447,2025
"Feb 22, 2025",vs Wake Forest,REG,W,85-73,W,4.0,O,137.5,San Diego State Aztecs,15447,2025
"Feb 26, 2025",@ Syracuse,REG,L,74-60,L,-1.0,U,146.5,San Diego State Aztecs,15447,2025
"Mar 1, 2025",@ Georgia Tech,REG,L,87-62,L,3.5,O,140.0,San Diego State Aztecs,15447,2025
"Mar 5, 2025",vs Pittsburgh,REG,W,71-63,W,2.5,U,139.0,San Diego State Aztecs,15447,2025
"Mar 8, 2025",@ Miami,REG,L,72-70,L,-2.0,U,149.5,San Diego State Aztecs,15447,2025
